datetime,ticker,size,price
2024-04-11,255,7.896,0
2024-04-12,-255,7.987,0
2024-04-15,-255,8.216,0
2024-04-16,255,8.307,0
2024-04-17,-263,8.417,0
2024-04-18,263,8.243,0
2024-04-19,-255,8.307,0
2024-04-22,255,8.371,0
2024-04-23,-254,8.252,0
2024-04-24,254,8.325,0
2024-04-25,260,8.499,0
2024-04-26,-260,8.435,0
2024-04-29,-255,8.152,0
2024-04-30,255,7.987,0
2024-05-06,-125,19.361,1
2024-05-07,125,18.763,1
2024-05-08,285,8.015,0
2024-05-09,-285,8.006,0
2024-05-10,-108,18.724,1
2024-05-13,108,18.037,1
2024-05-14,-263,8.152,0
2024-05-15,263,8.051,0
2024-05-16,-268,7.923,0
2024-05-17,268,7.978,0
2024-05-20,261,7.978,0
2024-05-21,-261,7.987,0
2024-05-22,269,7.96,0
2024-05-23,-269,7.933,0
2024-05-24,261,7.978,0
2024-05-27,-261,8.143,0
2024-05-28,109,15.632,1
2024-05-29,-109,16.26,1
2024-05-30,-263,7.96,0
2024-05-31,263,8.079,0
2024-06-03,-260,8.033,0
2024-06-04,260,8.079,0
2024-06-05,263,8.06,0
2024-06-06,-263,8.28,0
2024-06-07,253,8.325,0
2024-06-11,-253,8.006,0
2024-06-12,-269,8.143,0
2024-06-13,269,8.042,0
2024-06-14,-256,7.923,0
2024-06-17,256,7.814,0
2024-06-18,257,8.051,0
2024-06-19,-257,8.097,0
2024-06-20,-248,8.152,0
2024-06-21,248,8.262,0
2024-06-24,-263,8.225,0
2024-06-25,263,8.206,0
2024-06-26,-269,8.292,0
2024-06-27,269,8.465,0
2024-06-28,-242,8.484,0
2024-07-01,242,8.57,0
2024-07-02,-245,8.608,0
2024-07-03,245,8.541,0
2024-07-04,-251,8.58,0
2024-07-05,251,8.484,0
2024-07-08,-254,8.532,0
2024-07-09,254,8.666,0
2024-07-10,249,8.484,0
2024-07-11,-249,8.426,0
2024-07-12,255,8.455,0
2024-07-15,-255,8.647,0
2024-07-16,242,8.551,0
2024-07-17,-242,8.426,0
2024-07-18,246,8.618,0
2024-07-19,-246,8.436,0
2024-07-22,-257,8.398,0
2024-07-23,257,8.369,0
2024-07-24,249,8.388,0
2024-07-25,-249,8.378,0
