datetime,ticker,size,price
2024-01-17,1,6.735,0
2024-01-18,1,1.759,3
2024-01-19,1,6.708,0
2024-01-22,1,18.517,1
2024-01-23,2,1.673,3
2024-01-24,-1,6.754,0
2024-01-25,-2,1.778,3
2024-01-26,2,6.918,0
2024-01-29,-3,6.927,0
2024-01-30,6,1.768,3
2024-01-31,-1,16.152,1
2024-02-01,1,1.74,3
2024-02-02,1,7.046,0
2024-02-05,-2,7.192,0
2024-02-06,-3,1.749,3
2024-02-07,3,7.43,0
2024-02-08,1,16.408,1
2024-02-19,3,7.53,0
2024-02-20,-6,7.631,0
2024-02-21,1,7.604,0
2024-02-22,3,7.64,0
2024-02-23,3,1.844,3
2024-02-26,-1,7.293,0
2024-02-27,3,7.338,0
2024-02-28,-3,7.448,0
2024-02-29,-3,7.485,0
2024-03-01,3,7.384,0
2024-03-04,1,7.576,0
2024-03-05,-4,7.677,0
2024-03-06,1,7.585,0
2024-03-07,2,7.53,0
2024-03-08,1,16.957,1
2024-03-11,-2,7.604,0
2024-03-12,4,7.311,0
2024-03-13,1,7.22,0
2024-03-14,-3,7.402,0
2024-03-15,-3,7.402,0
2024-03-18,2,7.53,0
2024-03-19,-3,19.911,1
2024-03-20,2,7.43,0
2024-03-21,-2,7.439,0
2024-03-22,1,18.625,1
2024-03-25,-1,1.816,3
2024-03-26,-2,7.613,0
2024-03-27,-6,18.596,1
2024-03-28,1,7.649,0
2024-03-29,1,7.823,0
2024-04-01,-1,7.485,0
2024-04-02,7,7.677,0
2024-04-03,-8,7.649,0
2024-04-08,2,7.805,0
2024-04-09,-2,7.658,0
2024-04-10,4,7.741,0
2024-04-11,-3,7.896,0
2024-04-12,-1,7.987,0
2024-04-15,1,1.806,3
2024-04-16,1,8.307,0
2024-04-17,-1,8.417,0
2024-04-18,2,8.243,0
2024-04-19,2,8.307,0
2024-04-22,-2,8.371,0
2024-04-23,-1,8.252,0
2024-04-24,1,8.325,0
2024-04-25,-37,8.447,4
2024-04-26,-2,8.435,0
2024-04-29,3,8.152,0
2024-04-30,3,7.987,0
2024-05-06,-2,8.006,0
2024-05-07,-1,7.896,0
2024-05-08,3,18.606,1
2024-05-09,-3,8.006,0
2024-05-10,2,8.015,0
2024-05-13,3,18.037,1
2024-05-14,-2,8.152,0
2024-05-15,-1,17.34,1
2024-05-16,1,7.923,0
2024-05-17,2,7.978,0
2024-05-20,-1,7.978,0
2024-05-21,9,1.778,3
2024-05-22,-1,7.96,0
2024-05-23,-3,1.73,3
2024-05-24,1,16.064,1
2024-05-27,-1,8.143,0
2024-05-28,3,1.654,3
2024-05-29,1,8.079,0
2024-05-30,-2,16.025,1
2024-05-31,1,16.005,1
2024-06-03,-1,8.033,0
2024-06-04,1,8.079,0
2024-06-05,-7,1.587,3
2024-06-06,-2,16.682,1
2024-06-07,-2,8.325,0
2024-06-11,1,8.006,0
2024-06-12,4,8.143,0
2024-06-13,-4,8.042,0
2024-06-14,2,7.923,0
2024-06-17,1,7.814,0
2024-06-18,-2,15.985,1
2024-06-19,-4,8.097,0
2024-06-20,1,8.152,0
2024-06-21,9,1.312,3
2024-06-24,-1,14.084,1
2024-06-25,1,8.206,0
2024-06-26,-12,1.34,3
2024-06-27,-5,8.465,0
2024-06-28,-2,8.484,0
2024-07-01,3,8.57,0
2024-07-02,-5,1.35,3
2024-07-03,-2,1.359,3
2024-07-04,-1,13.698,1
2024-07-05,-1,8.484,0
2024-07-08,1,8.532,0
2024-07-09,-1,8.666,0
2024-07-10,-2,1.255,3
2024-07-11,3,8.426,0
2024-07-12,-1,13.51,1
2024-07-15,-1,8.647,0
2024-07-16,-2,8.551,0
2024-07-17,3,8.426,0
2024-07-18,-1,13.035,1
2024-07-19,-2,8.436,0
2024-07-22,4,8.398,0
2024-07-23,-2,8.369,0
2024-07-24,-1,8.388,0
2024-07-25,3,1.255,3
2024-07-26,-1,12.689,1
2024-07-29,2,8.407,0
2024-07-30,-2,8.445,0
2024-07-31,-1,12.867,1
2024-08-01,7,8.369,0
2024-08-02,-9,8.445,0
2024-08-05,1,8.465,0
2024-08-06,-4,1.337,3
2024-08-07,4,8.292,0
2024-08-08,-1,8.378,0
2024-08-09,-1,8.378,0
2024-08-12,2,1.318,3
2024-08-13,-3,8.714,0
2024-08-14,2,8.848,0
2024-08-15,-1,8.982,0
2024-08-16,1,8.915,0
2024-08-19,2,9.232,0
2024-08-20,-4,9.251,0
2024-08-21,2,9.241,0
2024-08-22,1,9.193,0
2024-08-23,1,1.24,3
2024-08-26,-3,1.269,3
2024-08-27,-1,10.739,1
2024-08-28,1,10.749,1
2024-08-29,-1,1.38,5
2024-08-30,1,8.704,0
2024-09-02,4,9.011,0
2024-09-03,-9,8.915,0
2024-09-04,5,9.136,0
2024-09-05,-4,9.203,0
2024-09-06,2,9.001,0
2024-09-09,3,8.934,0
2024-09-10,-2,8.954,0
2024-09-11,-9,6.355,4
2024-09-12,3,8.714,0
2024-09-13,-3,8.896,0
2024-09-18,-1,9.299,0
2024-09-19,-2,8.58,0
2024-09-20,13,8.292,0
2024-09-23,-5,8.11,0
2024-09-24,-1,8.34,0
2024-09-25,-2,8.57,0
2024-09-26,-3,8.551,0
2024-09-27,5,8.388,0
2024-09-30,1,8.829,0
2024-10-08,-2,8.628,0
2024-10-09,4,8.043,0
2024-10-10,-7,8.273,0
2024-10-11,-1,8.215,0
2024-10-14,-1,188.277,2
2024-10-15,-2,13.392,1
2024-10-16,2,1.676,3
2024-10-17,-1,8.273,0
2024-10-18,3,8.321,0
2024-10-21,1,8.493,0
2024-10-22,-4,8.733,0
2024-10-23,-1,14.886,1
2024-10-24,3,8.522,0
2024-10-25,1,15.797,1
2024-10-28,-4,16.895,1
2024-10-29,-5,1.686,3
2024-10-30,-2,8.35,0
2024-10-31,-10,1.793,3
2024-11-01,2,8.56,0
2024-11-04,-5,8.704,0
2024-11-05,3,8.637,0
2024-11-06,4,8.618,0
2024-11-07,-3,8.704,0
2024-11-08,1,8.714,0
2024-11-11,-2,8.608,0
2024-11-12,2,8.493,0
2024-11-13,-1,8.484,0
2024-11-14,1,19.746,1
2024-11-15,-2,8.867,0
2024-11-18,-3,8.858,0
2024-11-19,5,8.896,0
2024-11-20,-3,18.657,1
2024-11-21,1,19.974,1
2024-11-22,-2,20.063,1
2024-11-25,-3,1.812,3
2024-11-26,1,19.103,1
2024-11-27,4,20.053,1
2024-11-28,-4,19.766,1
2024-11-29,1,19.726,1
2024-12-02,1,8.656,0
2024-12-03,2,8.781,0
2024-12-04,-4,9.011,0
2024-12-05,-2,9.097,0
2024-12-06,1,9.26,0
2024-12-09,1,9.414,0
2024-12-10,3,2.015,3
2024-12-11,1,9.069,0
2024-12-12,3,9.021,0
2024-12-13,-1,9.021,0
2024-12-16,-4,9.5,0
2024-12-17,-3,9.442,0
2024-12-18,5,9.347,0
2024-12-19,1,9.462,0
2024-12-20,-2,9.452,0
2024-12-23,-1,16.589,1
2024-12-24,1,16.707,1
2024-12-25,1,9.596,0
2024-12-26,2,1.763,3
2024-12-27,1,9.759,0
2024-12-30,-4,9.711,0
2024-12-31,4,9.855,0
2025-01-02,-3,9.51,0
2025-01-03,3,9.49,0
2025-01-06,-1,9.423,0
2025-01-07,-2,1.647,3
2025-01-08,1,9.567,0
2025-01-09,-3,9.385,0
2025-01-10,3,9.433,0
2025-01-13,-2,9.347,0
2025-01-14,1,9.452,0
2025-01-15,1,9.385,0
2025-01-16,1,15.134,1
2025-01-17,-3,1.667,3
2025-01-20,5,1.667,3
2025-01-21,-2,9.222,0
2025-01-22,2,9.241,0
